=== Task 29 ===
config = exps_410m/config/sweep_L1_unc.yaml
lr     = 3e-1
host   = mbz-titan-3
gpu    = 0
Creating experiment directory: ./exps_410m/experiments/L1_unc/lr_3e-1
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-01 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.617e+04 | train/ppl_avg: 5.370e+04 | optim/lr_eff: 1.337e-07 | optim/dual_norm_sq: 1.607e+08 | optim/grad_norm: 1.241e+01 | optim/dampening: 2.244e+06 | optim/dn_layer_std: 1.292e+02 | optim/dn_layer_max: 7.602e+02 | optim/update_norm: 6.022e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-01 | train/loss: 1.040e+01 | train/loss_avg: 1.057e+01 | train/ppl: 3.287e+04 | train/ppl_avg: 3.896e+04 | optim/lr_eff: 1.716e-07 | optim/dual_norm_sq: 1.213e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 1.748e+06 | optim/dn_layer_std: 1.069e+02 | optim/dn_layer_max: 6.337e+02 | optim/update_norm: 7.761e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-01 | train/loss: 9.972e+00 | train/loss_avg: 1.020e+01 | train/ppl: 2.141e+04 | train/ppl_avg: 2.699e+04 | optim/lr_eff: 2.996e-07 | optim/dual_norm_sq: 6.672e+07 | optim/grad_norm: 1.156e+01 | optim/dampening: 1.001e+06 | optim/dn_layer_std: 7.324e+01 | optim/dn_layer_max: 4.429e+02 | optim/update_norm: 1.357e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-01 | train/loss: 9.393e+00 | train/loss_avg: 9.724e+00 | train/ppl: 1.200e+04 | train/ppl_avg: 1.671e+04 | optim/lr_eff: 5.000e-07 | optim/dual_norm_sq: 3.771e+07 | optim/grad_norm: 7.773e+00 | optim/dampening: 6.000e+05 | optim/dn_layer_std: 5.347e+01 | optim/dn_layer_max: 3.353e+02 | optim/update_norm: 2.267e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-01 | train/loss: 8.764e+00 | train/loss_avg: 9.114e+00 | train/ppl: 6.400e+03 | train/ppl_avg: 9.079e+03 | optim/lr_eff: 8.724e-07 | optim/dual_norm_sq: 2.014e+07 | optim/grad_norm: 3.438e+00 | optim/dampening: 3.439e+05 | optim/dn_layer_std: 4.003e+01 | optim/dn_layer_max: 2.554e+02 | optim/update_norm: 3.963e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-01 | train/loss: 8.033e+00 | train/loss_avg: 8.393e+00 | train/ppl: 3.081e+03 | train/ppl_avg: 4.417e+03 | optim/lr_eff: 1.654e-06 | optim/dual_norm_sq: 9.697e+06 | optim/grad_norm: 2.218e+00 | optim/dampening: 1.814e+05 | optim/dn_layer_std: 3.149e+01 | optim/dn_layer_max: 2.127e+02 | optim/update_norm: 7.535e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-01 | train/loss: 7.510e+00 | train/loss_avg: 7.762e+00 | train/ppl: 1.827e+03 | train/ppl_avg: 2.349e+03 | optim/lr_eff: 1.526e-06 | optim/dual_norm_sq: 9.869e+06 | optim/grad_norm: 3.336e+00 | optim/dampening: 1.966e+05 | optim/dn_layer_std: 3.281e+01 | optim/dn_layer_max: 2.328e+02 | optim/update_norm: 6.964e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-01 | train/loss: 7.195e+00 | train/loss_avg: 7.389e+00 | train/ppl: 1.332e+03 | train/ppl_avg: 1.618e+03 | optim/lr_eff: 1.629e-06 | optim/dual_norm_sq: 8.899e+06 | optim/grad_norm: 2.500e+00 | optim/dampening: 1.841e+05 | optim/dn_layer_std: 3.214e+01 | optim/dn_layer_max: 2.314e+02 | optim/update_norm: 7.437e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-01 | train/loss: 7.088e+00 | train/loss_avg: 7.122e+00 | train/ppl: 1.198e+03 | train/ppl_avg: 1.239e+03 | optim/lr_eff: 1.553e-06 | optim/dual_norm_sq: 9.029e+06 | optim/grad_norm: 2.259e+00 | optim/dampening: 1.932e+05 | optim/dn_layer_std: 3.262e+01 | optim/dn_layer_max: 2.343e+02 | optim/update_norm: 7.091e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-01 | train/loss: 6.693e+00 | train/loss_avg: 6.908e+00 | train/ppl: 8.064e+02 | train/ppl_avg: 1.001e+03 | optim/lr_eff: 1.496e-06 | optim/dual_norm_sq: 9.085e+06 | optim/grad_norm: 2.173e+00 | optim/dampening: 2.005e+05 | optim/dn_layer_std: 3.274e+01 | optim/dn_layer_max: 2.351e+02 | optim/update_norm: 6.835e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-01 | train/loss: 6.639e+00 | train/loss_avg: 6.731e+00 | train/ppl: 7.646e+02 | train/ppl_avg: 8.379e+02 | optim/lr_eff: 1.373e-06 | optim/dual_norm_sq: 9.683e+06 | optim/grad_norm: 2.087e+00 | optim/dampening: 2.185e+05 | optim/dn_layer_std: 3.390e+01 | optim/dn_layer_max: 2.453e+02 | optim/update_norm: 6.273e-01
