=== Task 3 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 3e-4
host   = mbz-titan-2
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_3e-4
Creating experiment directory: ./exps_410m/experiments/adamw/lr_3e-4
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-04 | train/loss: 7.601e+00 | train/loss_avg: 7.992e+00 | train/ppl: 2.001e+03 | train/ppl_avg: 2.958e+03 | optim/grad_norm: 2.743e-01 | optim/update_norm: 5.939e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-04 | train/loss: 7.179e+00 | train/loss_avg: 7.347e+00 | train/ppl: 1.311e+03 | train/ppl_avg: 1.552e+03 | optim/grad_norm: 6.231e-01 | optim/update_norm: 1.051e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-04 | train/loss: 6.709e+00 | train/loss_avg: 6.841e+00 | train/ppl: 8.194e+02 | train/ppl_avg: 9.358e+02 | optim/grad_norm: 1.135e+00 | optim/update_norm: 1.083e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-04 | train/loss: 6.189e+00 | train/loss_avg: 6.424e+00 | train/ppl: 4.875e+02 | train/ppl_avg: 6.165e+02 | optim/grad_norm: 8.083e-01 | optim/update_norm: 1.040e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-04 | train/loss: 6.036e+00 | train/loss_avg: 6.128e+00 | train/ppl: 4.181e+02 | train/ppl_avg: 4.583e+02 | optim/grad_norm: 1.497e+00 | optim/update_norm: 1.035e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-04 | train/loss: 5.703e+00 | train/loss_avg: 5.852e+00 | train/ppl: 2.996e+02 | train/ppl_avg: 3.480e+02 | optim/grad_norm: 8.586e-01 | optim/update_norm: 9.322e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-04 | train/loss: 5.403e+00 | train/loss_avg: 5.595e+00 | train/ppl: 2.220e+02 | train/ppl_avg: 2.691e+02 | optim/grad_norm: 6.874e-01 | optim/update_norm: 9.240e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-04 | train/loss: 5.234e+00 | train/loss_avg: 5.383e+00 | train/ppl: 1.875e+02 | train/ppl_avg: 2.177e+02 | optim/grad_norm: 4.708e-01 | optim/update_norm: 8.733e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-04 | train/loss: 5.283e+00 | train/loss_avg: 5.203e+00 | train/ppl: 1.970e+02 | train/ppl_avg: 1.817e+02 | optim/grad_norm: 6.135e-01 | optim/update_norm: 9.154e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-04 | train/loss: 4.877e+00 | train/loss_avg: 5.033e+00 | train/ppl: 1.313e+02 | train/ppl_avg: 1.534e+02 | optim/grad_norm: 6.016e-01 | optim/update_norm: 9.164e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-04 | train/loss: 4.788e+00 | train/loss_avg: 4.881e+00 | train/ppl: 1.201e+02 | train/ppl_avg: 1.318e+02 | optim/grad_norm: 4.338e-01 | optim/update_norm: 9.023e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
