=== Task 30 ===
config = exps_410m/config/sweep_min.yaml
lr     = 1e-5
host   = mbz-titan-2
gpu    = 0
Creating experiment directory: ./exps_410m/experiments/min/lr_1e-5
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 1.000e-05 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.615e+04 | train/ppl_avg: 5.370e+04 | optim/lr_eff: 1.337e-07 | optim/dual_norm_sq: 1.607e+08 | optim/grad_norm: 1.241e+01 | optim/dampening: 7.480e+01 | optim/dn_layer_std: 1.292e+02 | optim/dn_layer_max: 7.601e+02 | optim/update_norm: 6.022e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 1.000e-05 | train/loss: 1.040e+01 | train/loss_avg: 1.057e+01 | train/ppl: 3.287e+04 | train/ppl_avg: 3.895e+04 | optim/lr_eff: 1.716e-07 | optim/dual_norm_sq: 1.213e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 5.828e+01 | optim/dn_layer_std: 1.069e+02 | optim/dn_layer_max: 6.336e+02 | optim/update_norm: 7.761e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 1.000e-05 | train/loss: 9.971e+00 | train/loss_avg: 1.020e+01 | train/ppl: 2.141e+04 | train/ppl_avg: 2.699e+04 | optim/lr_eff: 2.998e-07 | optim/dual_norm_sq: 6.670e+07 | optim/grad_norm: 1.156e+01 | optim/dampening: 3.336e+01 | optim/dn_layer_std: 7.322e+01 | optim/dn_layer_max: 4.427e+02 | optim/update_norm: 1.357e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 1.000e-05 | train/loss: 9.393e+00 | train/loss_avg: 9.724e+00 | train/ppl: 1.200e+04 | train/ppl_avg: 1.671e+04 | optim/lr_eff: 5.002e-07 | optim/dual_norm_sq: 3.769e+07 | optim/grad_norm: 7.770e+00 | optim/dampening: 1.999e+01 | optim/dn_layer_std: 5.345e+01 | optim/dn_layer_max: 3.352e+02 | optim/update_norm: 2.268e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 1.000e-05 | train/loss: 8.764e+00 | train/loss_avg: 9.114e+00 | train/ppl: 6.399e+03 | train/ppl_avg: 9.077e+03 | optim/lr_eff: 8.728e-07 | optim/dual_norm_sq: 2.013e+07 | optim/grad_norm: 3.437e+00 | optim/dampening: 1.146e+01 | optim/dn_layer_std: 4.002e+01 | optim/dn_layer_max: 2.554e+02 | optim/update_norm: 3.965e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 1.000e-05 | train/loss: 8.033e+00 | train/loss_avg: 8.393e+00 | train/ppl: 3.080e+03 | train/ppl_avg: 4.416e+03 | optim/lr_eff: 1.650e-06 | optim/dual_norm_sq: 9.719e+06 | optim/grad_norm: 2.247e+00 | optim/dampening: 6.060e+00 | optim/dn_layer_std: 3.150e+01 | optim/dn_layer_max: 2.129e+02 | optim/update_norm: 7.518e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 1.000e-05 | train/loss: 7.508e+00 | train/loss_avg: 7.762e+00 | train/ppl: 1.823e+03 | train/ppl_avg: 2.349e+03 | optim/lr_eff: 1.694e-06 | optim/dual_norm_sq: 8.889e+06 | optim/grad_norm: 2.663e+00 | optim/dampening: 5.904e+00 | optim/dn_layer_std: 3.150e+01 | optim/dn_layer_max: 2.211e+02 | optim/update_norm: 7.729e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 1.000e-05 | train/loss: 7.178e+00 | train/loss_avg: 7.379e+00 | train/ppl: 1.310e+03 | train/ppl_avg: 1.603e+03 | optim/lr_eff: 1.774e-06 | optim/dual_norm_sq: 8.152e+06 | optim/grad_norm: 2.082e+00 | optim/dampening: 5.636e+00 | optim/dn_layer_std: 3.144e+01 | optim/dn_layer_max: 2.253e+02 | optim/update_norm: 8.100e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 1.000e-05 | train/loss: 7.072e+00 | train/loss_avg: 7.104e+00 | train/ppl: 1.179e+03 | train/ppl_avg: 1.216e+03 | optim/lr_eff: 1.592e-06 | optim/dual_norm_sq: 8.788e+06 | optim/grad_norm: 2.221e+00 | optim/dampening: 6.281e+00 | optim/dn_layer_std: 3.214e+01 | optim/dn_layer_max: 2.314e+02 | optim/update_norm: 7.269e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 1.000e-05 | train/loss: 6.682e+00 | train/loss_avg: 6.895e+00 | train/ppl: 7.983e+02 | train/ppl_avg: 9.876e+02 | optim/lr_eff: 1.443e-06 | optim/dual_norm_sq: 9.411e+06 | optim/grad_norm: 2.156e+00 | optim/dampening: 6.932e+00 | optim/dn_layer_std: 3.352e+01 | optim/dn_layer_max: 2.417e+02 | optim/update_norm: 6.589e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 1.000e-05 | train/loss: 6.636e+00 | train/loss_avg: 6.724e+00 | train/ppl: 7.624e+02 | train/ppl_avg: 8.323e+02 | optim/lr_eff: 1.262e-06 | optim/dual_norm_sq: 1.053e+07 | optim/grad_norm: 2.351e+00 | optim/dampening: 7.922e+00 | optim/dn_layer_std: 3.522e+01 | optim/dn_layer_max: 2.555e+02 | optim/update_norm: 5.768e-01
micro_step: 19200 | step: 600 | tokens: 314572800 | lr: 1.000e-05 | train/loss: 6.667e+00 | train/loss_avg: 6.576e+00 | train/ppl: 7.858e+02 | train/ppl_avg: 7.176e+02 | optim/lr_eff: 1.097e-06 | optim/dual_norm_sq: 1.189e+07 | optim/grad_norm: 2.227e+00 | optim/dampening: 9.113e+00 | optim/dn_layer_std: 3.665e+01 | optim/dn_layer_max: 2.620e+02 | optim/update_norm: 5.015e-01
micro_step: 20800 | step: 650 | tokens: 340787200 | lr: 1.000e-05 | train/loss: 6.388e+00 | train/loss_avg: 6.457e+00 | train/ppl: 5.948e+02 | train/ppl_avg: 6.372e+02 | optim/lr_eff: 1.078e-06 | optim/dual_norm_sq: 1.188e+07 | optim/grad_norm: 2.228e+00 | optim/dampening: 9.280e+00 | optim/dn_layer_std: 3.692e+01 | optim/dn_layer_max: 2.649e+02 | optim/update_norm: 4.926e-01
micro_step: 22400 | step: 700 | tokens: 367001600 | lr: 1.000e-05 | train/loss: 6.337e+00 | train/loss_avg: 6.354e+00 | train/ppl: 5.650e+02 | train/ppl_avg: 5.746e+02 | optim/lr_eff: 6.541e-07 | optim/dual_norm_sq: 1.929e+07 | optim/grad_norm: 4.270e+00 | optim/dampening: 1.529e+01 | optim/dn_layer_std: 4.675e+01 | optim/dn_layer_max: 3.380e+02 | optim/update_norm: 2.991e-01
