=== Task 12 ===
config = exps_410m/config/sweep_L1.yaml
lr     = 1e-4
host   = mbz-titan-2
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/L1/lr_1e-4
Creating experiment directory: ./exps_410m/experiments/L1/lr_1e-4
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 1.000e-04 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.617e+04 | train/ppl_avg: 5.371e+04 | optim/lr_eff: 1.335e-07 | optim/dual_norm_sq: 1.607e+08 | optim/grad_norm: 1.241e+01 | optim/dampening: 7.492e+02 | optim/dn_layer_std: 1.292e+02 | optim/dn_layer_max: 7.603e+02 | optim/update_norm: 6.013e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 1.000e-04 | train/loss: 1.040e+01 | train/loss_avg: 1.057e+01 | train/ppl: 3.290e+04 | train/ppl_avg: 3.898e+04 | optim/lr_eff: 1.711e-07 | optim/dual_norm_sq: 1.214e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 5.844e+02 | optim/dn_layer_std: 1.070e+02 | optim/dn_layer_max: 6.339e+02 | optim/update_norm: 7.740e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 1.000e-04 | train/loss: 9.974e+00 | train/loss_avg: 1.020e+01 | train/ppl: 2.146e+04 | train/ppl_avg: 2.703e+04 | optim/lr_eff: 2.979e-07 | optim/dual_norm_sq: 6.693e+07 | optim/grad_norm: 1.157e+01 | optim/dampening: 3.357e+02 | optim/dn_layer_std: 7.337e+01 | optim/dn_layer_max: 4.434e+02 | optim/update_norm: 1.349e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 1.000e-04 | train/loss: 9.398e+00 | train/loss_avg: 9.728e+00 | train/ppl: 1.207e+04 | train/ppl_avg: 1.678e+04 | optim/lr_eff: 4.954e-07 | optim/dual_norm_sq: 3.789e+07 | optim/grad_norm: 7.813e+00 | optim/dampening: 2.018e+02 | optim/dn_layer_std: 5.359e+01 | optim/dn_layer_max: 3.360e+02 | optim/update_norm: 2.246e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 1.000e-04 | train/loss: 8.775e+00 | train/loss_avg: 9.122e+00 | train/ppl: 6.471e+03 | train/ppl_avg: 9.152e+03 | optim/lr_eff: 8.548e-07 | optim/dual_norm_sq: 2.040e+07 | optim/grad_norm: 3.489e+00 | optim/dampening: 1.170e+02 | optim/dn_layer_std: 4.024e+01 | optim/dn_layer_max: 2.564e+02 | optim/update_norm: 3.883e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 1.000e-04 | train/loss: 8.053e+00 | train/loss_avg: 8.409e+00 | train/ppl: 3.143e+03 | train/ppl_avg: 4.487e+03 | optim/lr_eff: 1.643e-06 | optim/dual_norm_sq: 9.627e+06 | optim/grad_norm: 2.061e+00 | optim/dampening: 6.087e+01 | optim/dn_layer_std: 3.146e+01 | optim/dn_layer_max: 2.128e+02 | optim/update_norm: 7.484e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 1.000e-04 | train/loss: 7.523e+00 | train/loss_avg: 7.779e+00 | train/ppl: 1.850e+03 | train/ppl_avg: 2.391e+03 | optim/lr_eff: 1.661e-06 | optim/dual_norm_sq: 8.930e+06 | optim/grad_norm: 2.388e+00 | optim/dampening: 6.020e+01 | optim/dn_layer_std: 3.183e+01 | optim/dn_layer_max: 2.251e+02 | optim/update_norm: 7.580e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 1.000e-04 | train/loss: 7.194e+00 | train/loss_avg: 7.394e+00 | train/ppl: 1.332e+03 | train/ppl_avg: 1.626e+03 | optim/lr_eff: 1.615e-06 | optim/dual_norm_sq: 8.830e+06 | optim/grad_norm: 2.490e+00 | optim/dampening: 6.190e+01 | optim/dn_layer_std: 3.202e+01 | optim/dn_layer_max: 2.291e+02 | optim/update_norm: 7.374e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 1.000e-04 | train/loss: 7.086e+00 | train/loss_avg: 7.119e+00 | train/ppl: 1.196e+03 | train/ppl_avg: 1.236e+03 | optim/lr_eff: 1.267e-06 | optim/dual_norm_sq: 1.092e+07 | optim/grad_norm: 2.774e+00 | optim/dampening: 7.890e+01 | optim/dn_layer_std: 3.675e+01 | optim/dn_layer_max: 2.759e+02 | optim/update_norm: 5.787e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 1.000e-04 | train/loss: 6.699e+00 | train/loss_avg: 6.911e+00 | train/ppl: 8.117e+02 | train/ppl_avg: 1.003e+03 | optim/lr_eff: 1.451e-06 | optim/dual_norm_sq: 9.240e+06 | optim/grad_norm: 2.129e+00 | optim/dampening: 6.890e+01 | optim/dn_layer_std: 3.315e+01 | optim/dn_layer_max: 2.395e+02 | optim/update_norm: 6.629e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 1.000e-04 | train/loss: 6.649e+00 | train/loss_avg: 6.739e+00 | train/ppl: 7.720e+02 | train/ppl_avg: 8.447e+02 | optim/lr_eff: 1.348e-06 | optim/dual_norm_sq: 9.740e+06 | optim/grad_norm: 2.114e+00 | optim/dampening: 7.416e+01 | optim/dn_layer_std: 3.380e+01 | optim/dn_layer_max: 2.440e+02 | optim/update_norm: 6.161e-01
