=== Task 2 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 1e-4
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_1e-4
Creating experiment directory: ./exps_410m/experiments/adamw/lr_1e-4
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 1.000e-04 | train/loss: 7.386e+00 | train/loss_avg: 8.162e+00 | train/ppl: 1.613e+03 | train/ppl_avg: 3.506e+03 | optim/grad_norm: 1.664e+00 | optim/update_norm: 6.918e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 1.000e-04 | train/loss: 7.010e+00 | train/loss_avg: 7.167e+00 | train/ppl: 1.108e+03 | train/ppl_avg: 1.295e+03 | optim/grad_norm: 1.058e+00 | optim/update_norm: 4.165e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 1.000e-04 | train/loss: 6.546e+00 | train/loss_avg: 6.658e+00 | train/ppl: 6.962e+02 | train/ppl_avg: 7.793e+02 | optim/grad_norm: 1.367e+00 | optim/update_norm: 3.809e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 1.000e-04 | train/loss: 6.100e+00 | train/loss_avg: 6.300e+00 | train/ppl: 4.459e+02 | train/ppl_avg: 5.448e+02 | optim/grad_norm: 1.046e+00 | optim/update_norm: 3.689e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 1.000e-04 | train/loss: 5.869e+00 | train/loss_avg: 6.004e+00 | train/ppl: 3.538e+02 | train/ppl_avg: 4.049e+02 | optim/grad_norm: 1.458e+00 | optim/update_norm: 3.692e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 1.000e-04 | train/loss: 5.572e+00 | train/loss_avg: 5.717e+00 | train/ppl: 2.629e+02 | train/ppl_avg: 3.039e+02 | optim/grad_norm: 1.165e+00 | optim/update_norm: 3.557e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 1.000e-04 | train/loss: 5.220e+00 | train/loss_avg: 5.444e+00 | train/ppl: 1.850e+02 | train/ppl_avg: 2.313e+02 | optim/grad_norm: 9.730e-01 | optim/update_norm: 3.504e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 1.000e-04 | train/loss: 5.075e+00 | train/loss_avg: 5.226e+00 | train/ppl: 1.600e+02 | train/ppl_avg: 1.861e+02 | optim/grad_norm: 9.169e-01 | optim/update_norm: 3.438e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 1.000e-04 | train/loss: 5.136e+00 | train/loss_avg: 5.042e+00 | train/ppl: 1.701e+02 | train/ppl_avg: 1.548e+02 | optim/grad_norm: 1.074e+00 | optim/update_norm: 3.501e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 1.000e-04 | train/loss: 4.740e+00 | train/loss_avg: 4.901e+00 | train/ppl: 1.145e+02 | train/ppl_avg: 1.344e+02 | optim/grad_norm: 8.226e-01 | optim/update_norm: 3.425e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 1.000e-04 | train/loss: 4.717e+00 | train/loss_avg: 4.780e+00 | train/ppl: 1.118e+02 | train/ppl_avg: 1.191e+02 | optim/grad_norm: 8.297e-01 | optim/update_norm: 3.443e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
