=== Task 6 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 1e-2
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_1e-2
Creating experiment directory: ./exps_410m/experiments/adamw/lr_1e-2
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 1.000e-02 | train/loss: 7.894e+00 | train/loss_avg: 1.003e+01 | train/ppl: 2.680e+03 | train/ppl_avg: 2.276e+04 | optim/grad_norm: 5.600e-01 | optim/update_norm: 9.214e+00 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 1.000e-02 | train/loss: 7.577e+00 | train/loss_avg: 7.708e+00 | train/ppl: 1.953e+03 | train/ppl_avg: 2.227e+03 | optim/grad_norm: 1.663e-01 | optim/update_norm: 1.780e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 1.000e-02 | train/loss: 7.192e+00 | train/loss_avg: 7.283e+00 | train/ppl: 1.328e+03 | train/ppl_avg: 1.455e+03 | optim/grad_norm: 1.567e-01 | optim/update_norm: 1.642e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 1.000e-02 | train/loss: 6.758e+00 | train/loss_avg: 6.968e+00 | train/ppl: 8.605e+02 | train/ppl_avg: 1.062e+03 | optim/grad_norm: 8.837e-02 | optim/update_norm: 1.705e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 1.000e-02 | train/loss: 6.706e+00 | train/loss_avg: 6.792e+00 | train/ppl: 8.171e+02 | train/ppl_avg: 8.905e+02 | optim/grad_norm: 1.350e-01 | optim/update_norm: 1.884e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 1.000e-02 | train/loss: 6.609e+00 | train/loss_avg: 6.675e+00 | train/ppl: 7.420e+02 | train/ppl_avg: 7.925e+02 | optim/grad_norm: 1.982e-01 | optim/update_norm: 2.268e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 1.000e-02 | train/loss: 6.421e+00 | train/loss_avg: 6.549e+00 | train/ppl: 6.147e+02 | train/ppl_avg: 6.986e+02 | optim/grad_norm: 4.195e-01 | optim/update_norm: 2.668e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 1.000e-02 | train/loss: 6.429e+00 | train/loss_avg: 6.490e+00 | train/ppl: 6.198e+02 | train/ppl_avg: 6.583e+02 | optim/grad_norm: 7.910e-01 | optim/update_norm: 2.742e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 1.000e-02 | train/loss: 6.571e+00 | train/loss_avg: 6.448e+00 | train/ppl: 7.142e+02 | train/ppl_avg: 6.313e+02 | optim/grad_norm: 4.883e-01 | optim/update_norm: 3.143e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 1.000e-02 | train/loss: 6.366e+00 | train/loss_avg: 6.457e+00 | train/ppl: 5.815e+02 | train/ppl_avg: 6.369e+02 | optim/grad_norm: 5.760e-01 | optim/update_norm: 3.110e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 1.000e-02 | train/loss: 6.541e+00 | train/loss_avg: 6.529e+00 | train/ppl: 6.932e+02 | train/ppl_avg: 6.847e+02 | optim/grad_norm: 2.434e+00 | optim/update_norm: 3.175e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 19200 | step: 600 | tokens: 314572800 | lr: 1.000e-02 | train/loss: 6.690e+00 | train/loss_avg: 6.560e+00 | train/ppl: 8.040e+02 | train/ppl_avg: 7.062e+02 | optim/grad_norm: 3.999e+00 | optim/update_norm: 2.984e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 20800 | step: 650 | tokens: 340787200 | lr: 1.000e-02 | train/loss: 6.591e+00 | train/loss_avg: 6.623e+00 | train/ppl: 7.283e+02 | train/ppl_avg: 7.525e+02 | optim/grad_norm: 8.796e-01 | optim/update_norm: 2.655e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 22400 | step: 700 | tokens: 367001600 | lr: 1.000e-02 | train/loss: 6.685e+00 | train/loss_avg: 6.597e+00 | train/ppl: 7.999e+02 | train/ppl_avg: 7.330e+02 | optim/grad_norm: 1.560e+00 | optim/update_norm: 3.462e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 24000 | step: 750 | tokens: 393216000 | lr: 1.000e-02 | train/loss: 6.627e+00 | train/loss_avg: 6.743e+00 | train/ppl: 7.550e+02 | train/ppl_avg: 8.477e+02 | optim/grad_norm: 1.458e+00 | optim/update_norm: 2.623e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 25600 | step: 800 | tokens: 419430400 | lr: 1.000e-02 | train/loss: 6.540e+00 | train/loss_avg: 6.628e+00 | train/ppl: 6.926e+02 | train/ppl_avg: 7.557e+02 | optim/grad_norm: 3.927e+00 | optim/update_norm: 2.782e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 27200 | step: 850 | tokens: 445644800 | lr: 1.000e-02 | train/loss: 6.520e+00 | train/loss_avg: 6.569e+00 | train/ppl: 6.788e+02 | train/ppl_avg: 7.130e+02 | optim/grad_norm: 1.006e+00 | optim/update_norm: 2.486e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 28800 | step: 900 | tokens: 471859200 | lr: 1.000e-02 | train/loss: 6.608e+00 | train/loss_avg: 6.508e+00 | train/ppl: 7.406e+02 | train/ppl_avg: 6.705e+02 | optim/grad_norm: 8.682e-01 | optim/update_norm: 2.719e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 30400 | step: 950 | tokens: 498073600 | lr: 1.000e-02 | train/loss: 6.528e+00 | train/loss_avg: 6.510e+00 | train/ppl: 6.843e+02 | train/ppl_avg: 6.716e+02 | optim/grad_norm: 2.217e+00 | optim/update_norm: 2.882e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
Evaluating on validation set
micro_step: 32000 | step: 1000 | tokens: 524288000 | lr: 1.000e-02 | train/loss: 6.705e+00 | train/loss_avg: 6.528e+00 | train/ppl: 8.167e+02 | train/ppl_avg: 6.841e+02 | valid/loss: 6.549e+00 | valid/ppl: 6.987e+02 | optim/grad_norm: 2.077e+00 | optim/update_norm: 3.047e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 33600 | step: 1050 | tokens: 550502400 | lr: 1.000e-02 | train/loss: 6.546e+00 | train/loss_avg: 6.587e+00 | train/ppl: 6.964e+02 | train/ppl_avg: 7.257e+02 | optim/grad_norm: 1.037e+00 | optim/update_norm: 2.608e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 35200 | step: 1100 | tokens: 576716800 | lr: 1.000e-02 | train/loss: 6.311e+00 | train/loss_avg: 6.535e+00 | train/ppl: 5.504e+02 | train/ppl_avg: 6.887e+02 | optim/grad_norm: 9.909e-01 | optim/update_norm: 2.579e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
