=== Task 9 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 3e-1
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_3e-1
Creating experiment directory: ./exps_410m/experiments/adamw/lr_3e-1
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-01 | train/loss: 1.034e+02 | train/loss_avg: 9.495e+01 | train/ppl: 8.051e+44 | train/ppl_avg: 1.729e+41 | optim/grad_norm: 3.235e+01 | optim/update_norm: 7.913e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-01 | train/loss: 9.428e+01 | train/loss_avg: 1.005e+02 | train/ppl: 8.804e+40 | train/ppl_avg: 4.445e+43 | optim/grad_norm: 8.201e+01 | optim/update_norm: 7.822e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-01 | train/loss: 1.048e+02 | train/loss_avg: 8.672e+01 | train/ppl: 3.314e+45 | train/ppl_avg: 4.606e+37 | optim/grad_norm: 7.582e+01 | optim/update_norm: 7.481e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-01 | train/loss: 8.699e+01 | train/loss_avg: 9.813e+01 | train/ppl: 6.043e+37 | train/ppl_avg: 4.135e+42 | optim/grad_norm: 1.712e+02 | optim/update_norm: 7.606e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-01 | train/loss: 1.129e+02 | train/loss_avg: 9.140e+01 | train/ppl: 1.053e+49 | train/ppl_avg: 4.932e+39 | optim/grad_norm: 2.652e+02 | optim/update_norm: 8.362e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-01 | train/loss: 6.362e+01 | train/loss_avg: 8.351e+01 | train/ppl: 4.256e+27 | train/ppl_avg: 1.847e+36 | optim/grad_norm: 1.047e+02 | optim/update_norm: 8.069e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-01 | train/loss: 1.139e+02 | train/loss_avg: 1.014e+02 | train/ppl: 2.890e+49 | train/ppl_avg: 1.059e+44 | optim/grad_norm: 8.965e+01 | optim/update_norm: 8.934e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-01 | train/loss: 8.984e+01 | train/loss_avg: 8.442e+01 | train/ppl: 1.039e+39 | train/ppl_avg: 4.600e+36 | optim/grad_norm: 1.725e+02 | optim/update_norm: 8.147e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-01 | train/loss: 9.843e+01 | train/loss_avg: 9.312e+01 | train/ppl: 5.592e+42 | train/ppl_avg: 2.773e+40 | optim/grad_norm: 1.794e+02 | optim/update_norm: 8.979e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-01 | train/loss: 7.294e+01 | train/loss_avg: 7.547e+01 | train/ppl: 4.764e+31 | train/ppl_avg: 5.961e+32 | optim/grad_norm: 1.222e+02 | optim/update_norm: 8.278e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-01 | train/loss: 7.482e+01 | train/loss_avg: 8.171e+01 | train/ppl: 3.117e+32 | train/ppl_avg: 3.075e+35 | optim/grad_norm: 1.138e+02 | optim/update_norm: 7.640e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 19200 | step: 600 | tokens: 314572800 | lr: 3.000e-01 | train/loss: 7.037e+01 | train/loss_avg: 7.768e+01 | train/ppl: 3.651e+30 | train/ppl_avg: 5.422e+33 | optim/grad_norm: 1.582e+02 | optim/update_norm: 9.100e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 20800 | step: 650 | tokens: 340787200 | lr: 3.000e-01 | train/loss: 8.233e+01 | train/loss_avg: 7.494e+01 | train/ppl: 5.697e+35 | train/ppl_avg: 3.520e+32 | optim/grad_norm: 1.961e+02 | optim/update_norm: 8.898e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 22400 | step: 700 | tokens: 367001600 | lr: 3.000e-01 | train/loss: 6.011e+01 | train/loss_avg: 7.098e+01 | train/ppl: 1.269e+26 | train/ppl_avg: 6.680e+30 | optim/grad_norm: 1.128e+02 | optim/update_norm: 8.445e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 24000 | step: 750 | tokens: 393216000 | lr: 3.000e-01 | train/loss: 5.970e+01 | train/loss_avg: 6.377e+01 | train/ppl: 8.433e+25 | train/ppl_avg: 4.935e+27 | optim/grad_norm: 1.232e+02 | optim/update_norm: 7.721e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 25600 | step: 800 | tokens: 419430400 | lr: 3.000e-01 | train/loss: 7.416e+01 | train/loss_avg: 6.600e+01 | train/ppl: 1.617e+32 | train/ppl_avg: 4.599e+28 | optim/grad_norm: 1.183e+02 | optim/update_norm: 8.815e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 27200 | step: 850 | tokens: 445644800 | lr: 3.000e-01 | train/loss: 5.627e+01 | train/loss_avg: 6.739e+01 | train/ppl: 2.736e+24 | train/ppl_avg: 1.852e+29 | optim/grad_norm: 2.297e+02 | optim/update_norm: 8.181e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 28800 | step: 900 | tokens: 471859200 | lr: 3.000e-01 | train/loss: 6.363e+01 | train/loss_avg: 5.770e+01 | train/ppl: 4.307e+27 | train/ppl_avg: 1.142e+25 | optim/grad_norm: 3.488e+02 | optim/update_norm: 8.478e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 30400 | step: 950 | tokens: 498073600 | lr: 3.000e-01 | train/loss: 5.616e+01 | train/loss_avg: 6.070e+01 | train/ppl: 2.442e+24 | train/ppl_avg: 2.308e+26 | optim/grad_norm: 2.296e+02 | optim/update_norm: 8.013e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
Evaluating on validation set
micro_step: 32000 | step: 1000 | tokens: 524288000 | lr: 3.000e-01 | train/loss: 7.019e+01 | train/loss_avg: 6.062e+01 | train/ppl: 3.032e+30 | train/ppl_avg: 2.118e+26 | valid/loss: 7.324e+01 | valid/ppl: 6.437e+31 | optim/grad_norm: 3.603e+02 | optim/update_norm: 8.963e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 33600 | step: 1050 | tokens: 550502400 | lr: 3.000e-01 | train/loss: 6.494e+01 | train/loss_avg: 5.642e+01 | train/ppl: 1.601e+28 | train/ppl_avg: 3.179e+24 | optim/grad_norm: 1.583e+02 | optim/update_norm: 7.180e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 35200 | step: 1100 | tokens: 576716800 | lr: 3.000e-01 | train/loss: 5.516e+01 | train/loss_avg: 5.437e+01 | train/ppl: 9.071e+23 | train/ppl_avg: 4.114e+23 | optim/grad_norm: 1.465e+02 | optim/update_norm: 8.235e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 36800 | step: 1150 | tokens: 602931200 | lr: 3.000e-01 | train/loss: 4.030e+01 | train/loss_avg: 4.933e+01 | train/ppl: 3.170e+17 | train/ppl_avg: 2.665e+21 | optim/grad_norm: 1.257e+02 | optim/update_norm: 8.465e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 38400 | step: 1200 | tokens: 629145600 | lr: 3.000e-01 | train/loss: 4.646e+01 | train/loss_avg: 4.987e+01 | train/ppl: 1.501e+20 | train/ppl_avg: 4.553e+21 | optim/grad_norm: 1.443e+02 | optim/update_norm: 7.999e+02 | optim/lr_eff: 3.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
